"region","category","sub_category","product_id","product_name","sales","discount","profit","original_price","zero_profit_sales","max_discount"
"South","Furniture","Bookcases","FUR-BO-10001798","Bush Somerset Collection Bookcase",261.96,0.00,41.91,261.9600000000000000,220.05,0.15998625744388456253
"South","Furniture","Chairs","FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,0.00,219.58,731.9400000000000000,512.36,0.29999726753559034894
"West","Office Supplies","Labels","OFF-LA-10000240","Self-Adhesive Address Labels for Typewriters by Universal",14.62,0.00,6.87,14.6200000000000000,7.75,0.46990424076607387141
"South","Furniture","Tables","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table",957.58,0.45,-383.03,1741.0545454545454545,1340.61,0.23000114872908790908
"South","Office Supplies","Storage","OFF-ST-10000760","Eldon Fold 'N Roll Cart System",22.37,0.20,2.52,27.9625000000000000,19.85,0.29012069736253911489
"West","Furniture","Furnishings","FUR-FU-10001487","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,0.00,14.17,48.8600000000000000,34.69,0.29001227998362668850
"West","Office Supplies","Art","OFF-AR-10002833","Newell 322",7.28,0.00,1.97,7.2800000000000000,5.31,0.27060439560439560440
"West","Technology","Phones","TEC-PH-10002275","Mitel 5320 IP Phone VoIP phone",907.15,0.20,90.72,1133.9375000000000000,816.43,0.28000440941409910158
"West","Office Supplies","Binders","OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill",18.50,0.20,5.78,23.1250000000000000,12.72,0.44994594594594594595
"West","Office Supplies","Appliances","OFF-AP-10002892","Belkin F5C206VTEL 6 Outlet Surge",114.90,0.00,34.47,114.9000000000000000,80.43,0.30000000000000000000
"West","Furniture","Tables","FUR-TA-10001539","Chromcraft Rectangular Conference Tables",1706.18,0.20,85.31,2132.7250000000000000,1620.87,0.24000046888370511904
"West","Technology","Phones","TEC-PH-10002033","Konftel 250 Conference phone - Charcoal black",911.42,0.20,68.36,1139.2750000000000000,843.06,0.26000307212920497685
"South","Office Supplies","Paper","OFF-PA-10002365","Xerox 1967",15.55,0.20,5.44,19.4375000000000000,10.11,0.47987138263665594855
"West","Office Supplies","Binders","OFF-BI-10003656","Fellowes PB200 Plastic Comb Binding Machine",407.98,0.20,132.59,509.9750000000000000,275.39,0.45999313691847639590
"Central","Office Supplies","Appliances","OFF-AP-10002311","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,0.80,-123.86,344.0500000000000000,192.67,0.43999418689144019765
"Central","Office Supplies","Binders","OFF-BI-10000756","Storex DuraTech Recycled Plastic Frosted Binders",2.54,0.80,-3.82,12.7000000000000000,6.36,0.49921259842519685039
"Central","Office Supplies","Storage","OFF-ST-10004186","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,0.00,13.32,665.8800000000000000,652.56,0.02000360425301856190
"West","Office Supplies","Storage","OFF-ST-10000107","Fellowes Super Stor/Drawer",55.50,0.00,9.99,55.5000000000000000,45.51,0.18000000000000000000
"West","Office Supplies","Art","OFF-AR-10003056","Newell 341",8.56,0.00,2.48,8.5600000000000000,6.08,0.28971962616822429907
"West","Technology","Phones","TEC-PH-10001949","Cisco SPA 501G IP Phone",213.48,0.20,16.01,266.8500000000000000,197.47,0.25999625257635375679
"West","Office Supplies","Binders","OFF-BI-10002215","Wilson Jones Hanging View Binder, White, 1""",22.72,0.20,7.38,28.4000000000000000,15.34,0.45985915492957746479
"Central","Office Supplies","Art","OFF-AR-10000246","Newell 318",19.46,0.00,5.06,19.4600000000000000,14.40,0.26002055498458376156
"Central","Office Supplies","Appliances","OFF-AP-10001492","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,0.00,15.69,60.3400000000000000,44.65,0.26002651640702684786
"East","Furniture","Chairs","FUR-CH-10002774","Global Deluxe Stacking Chair, Gray",71.37,0.30,-1.02,101.9571428571428571,72.39,0.28999579655317360206
"West","Furniture","Tables","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table",1044.63,0.00,240.26,1044.6300000000000000,804.37,0.22999530934397825067
"West","Office Supplies","Binders","OFF-BI-10001634","Wilson Jones Active Use Binders",11.65,0.20,4.22,14.5625000000000000,7.43,0.48978540772532188841
"West","Technology","Accessories","TEC-AC-10003027","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,0.00,11.77,90.5700000000000000,78.80,0.12995473114717897759
"East","Furniture","Bookcases","FUR-BO-10004834","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,0.50,-1665.05,6166.8600000000000000,4748.48,0.23000035674557230098
"East","Office Supplies","Binders","OFF-BI-10000474","Avery Recycled Flexi-View Covers for Binding Systems",9.62,0.70,-7.05,32.0666666666666667,16.67,0.48014553014553014607
"East","Furniture","Furnishings","FUR-FU-10004848","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,0.20,15.53,155.2500000000000000,108.67,0.30003220611916264090
"East","Office Supplies","Envelopes","OFF-EN-10001509","Poly String Tie Envelopes",3.26,0.20,1.10,4.0750000000000000,2.16,0.46993865030674846626
"East","Office Supplies","Art","OFF-AR-10004042","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,0.20,9.71,107.8750000000000000,76.59,0.29001158748551564311
"East","Office Supplies","Binders","OFF-BI-10001525","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,0.70,-5.72,22.8666666666666667,12.58,0.44985422740524781421
"East","Office Supplies","Art","OFF-AR-10001683","Lumber Crayons",15.76,0.20,3.55,19.7000000000000000,12.21,0.38020304568527918782
"Central","Office Supplies","Paper","OFF-PA-10000249","Easy-staple paper",29.47,0.20,9.95,36.8375000000000000,19.52,0.47010519172039362063
"Central","Technology","Phones","TEC-PH-10004977","GE 30524EE4",1097.54,0.20,123.47,1371.9250000000000000,974.07,0.28999763106583814713
"Central","Furniture","Furnishings","FUR-FU-10003664","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,0.60,-147.96,477.3000000000000000,338.88,0.29000628535512256442
"Central","Office Supplies","Envelopes","OFF-EN-10002986","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,0.20,35.42,141.6625000000000000,77.91,0.45003088326127239036
"Central","Furniture","Bookcases","FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,0.32,-46.98,782.9411764705882353,579.38,0.25999549211119459054
"Central","Furniture","Chairs","FUR-CH-10004218","Global Fabric Manager's Chair, Dark Gray",212.06,0.30,-15.15,302.9428571428571429,227.21,0.24999056870696972566
"Central","Technology","Phones","TEC-PH-10000486","Plantronics HL10 Handset Lifter",371.17,0.20,41.76,463.9625000000000000,329.41,0.29000727429479753213
"Central","Technology","Phones","TEC-PH-10004093","Panasonic Kx-TS550",147.17,0.20,16.56,183.9625000000000000,130.61,0.29001834613032547394
"West","Office Supplies","Storage","OFF-ST-10003479","Eldon Base for stackable storage shelf, platinum",77.88,0.00,3.89,77.8800000000000000,73.99,0.04994863893168977915
"South","Office Supplies","Storage","OFF-ST-10003282","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,0.20,9.56,119.5250000000000000,86.06,0.27998326709893327756
"Central","Technology","Accessories","TEC-AC-10000171","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,0.00,19.77,45.9800000000000000,26.21,0.42996955197912135711
"Central","Office Supplies","Binders","OFF-BI-10003291","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,0.00,8.21,17.4600000000000000,9.25,0.47021764032073310424
"Central","Office Supplies","Storage","OFF-ST-10001713","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,0.00,8.48,211.9600000000000000,203.48,0.04000754859407435365
"East","Technology","Accessories","TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45.00,0.00,4.95,45.0000000000000000,40.05,0.11000000000000000000
"East","Technology","Phones","TEC-PH-10003988","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,0.00,6.10,21.8000000000000000,15.70,0.27981651376146788991
"Central","Office Supplies","Binders","OFF-BI-10004410","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,0.00,17.96,38.2200000000000000,20.26,0.46991104133961276818
"Central","Office Supplies","Labels","OFF-LA-10002762","Avery 485",75.18,0.00,35.33,75.1800000000000000,39.85,0.46993881351423250865
"Central","Furniture","Furnishings","FUR-FU-10001706","Longer-Life Soft White Bulbs",6.16,0.00,2.96,6.1600000000000000,3.20,0.48051948051948051948
"Central","Furniture","Chairs","FUR-CH-10003061","Global Leather Task Chair, Black",89.99,0.00,17.10,89.9900000000000000,72.89,0.19002111345705078342
"East","Office Supplies","Fasteners","OFF-FA-10000304","Advantus Push Pins",15.26,0.00,6.26,15.2600000000000000,9.00,0.41022280471821756225
"East","Technology","Phones","TEC-PH-10002447","AT&T CL83451 4-Handset Telephone",1029.95,0.00,298.69,1029.9500000000000000,731.26,0.29000436914413321035
